id,manglish,malayalam,english
4571,ni schoolilu panee cheyyunnu,നീ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,you is working at school
4572,njanu veettilu pokunnuu,ഞാൻ വീട്ടിൽ പോകുന്നു,I is going at home
4573,neeu coffee padikkunnuu,നീ കാപ്പി പഠിക്കുന്നു,you is studying coffee
4574,nammalu vellamu pokunnuu,നാം വെള്ളം പോകുന്നു,we is going water
4575,njanu schoolil varoonnoo,ഞാൻ സ്കൂളിൽ വരുന്നു,I is coming at school
4576,nee chaayau padeekkunnu,നീ ചായ പഠിക്കുന്നു,you is studying tea
4577,ni chaaya padikkunnuu,നീ ചായ പഠിക്കുന്നു,you is studying tea
4578,njan poosthakam varunnuu,ഞാൻ പുസ്തകം വരുന്നു,I is coming book
4579,njanu offeeceeel kazheekkunnu,ഞാൻ ഓഫീസിൽ കഴിക്കുന്നു,I is eating at office
4580,nammalu offeeceeel padikkunnu,നാം ഓഫീസിൽ പഠിക്കുന്നു,we is studying at office
4581,njanu veetteel pokunnuu,ഞാൻ വീട്ടിൽ പോകുന്നു,I is going at home
4582,aval veettilu varoonnoo,അവൾ വീട്ടിൽ വരുന്നു,she is coming at home
4583,avanu veetteel padikkoonnoo,അവൻ വീട്ടിൽ പഠിക്കുന്നു,he is studying at home
4584,avanu pusthakamu kazhikkoonnoo,അവൻ പുസ്തകം കഴിക്കുന്നു,he is eating book
4585,neeu pusthakamu pani cheyyunnu,നീ പുസ്തകം ജോലി ചെയ്യുന്നു,you is working book
4586,njanu veetteel urangunnu,ഞാൻ വീട്ടിൽ ഉറങ്ങുന്നു,I is sleeping at home
4587,njanu veettilu padikkunnuu,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
4588,avalu schooleel varoonnoo,അവൾ സ്കൂളിൽ വരുന്നു,she is coming at school
4589,neeu vellamu padikkunnuu,നീ വെള്ളം പഠിക്കുന്നു,you is studying water
4590,avalu coffi panee cheyyunnu,അവൾ കാപ്പി ജോലി ചെയ്യുന്നു,she is working coffee
4591,avanu schulil padikkunnuu,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
4592,neeu poosthakam pani cheyyunnu,നീ പുസ്തകം ജോലി ചെയ്യുന്നു,you is working book
4593,njanu vellamu pani cheyyunnuu,ഞാൻ വെള്ളം ജോലി ചെയ്യുന്നു,I is working water
4594,njanu veettilu urangunnuu,ഞാൻ വീട്ടിൽ ഉറങ്ങുന്നു,I is sleeping at home
4595,avalu chaaya panee cheyyunnu,അവൾ ചായ ജോലി ചെയ്യുന്നു,she is working tea
4596,nammalu poosthakam urangunnuu,നാം പുസ്തകം ഉറങ്ങുന്നു,we is sleeping book
4597,neeu officeilu padikkunnuu,നീ ഓഫീസിൽ പഠിക്കുന്നു,you is studying at office
4598,nammalu vellam kazhikkunnuu,നാം വെള്ളം കഴിക്കുന്നു,we is eating water
4599,ni veettil padeekkunnu,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
4600,njanu officeilu padikkunnuu,ഞാൻ ഓഫീസിൽ പഠിക്കുന്നു,I is studying at office
4601,nammal chaayau padeekkunnu,നാം ചായ പഠിക്കുന്നു,we is studying tea
4602,njanu vittil pani cheyyunnuu,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
4603,nammalu vittil kazhikkoonnoo,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
4604,avanu veettilu oorangoonnoo,അവൻ വീട്ടിൽ ഉറങ്ങുന്നു,he is sleeping at home
4605,ni poosthakam kazhikkunnuu,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
4606,neeu poosthakam pokoonnoo,നീ പുസ്തകം പോകുന്നു,you is going book
4607,aval veettilu pani cheyyunnuu,അവൾ വീട്ടിൽ ജോലി ചെയ്യുന്നു,she is working at home
4608,avanu veetteel pani cheyyunnuu,അവൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,he is working at home
4609,ni vittil pokoonnoo,നീ വീട്ടിൽ പോകുന്നു,you is going at home
4610,avalu veetteel kazhikkoonnoo,അവൾ വീട്ടിൽ കഴിക്കുന്നു,she is eating at home
4611,njanu vellamu panee cheyyunnu,ഞാൻ വെള്ളം ജോലി ചെയ്യുന്നു,I is working water
4612,njanu veetteel panee cheyyunnu,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
4613,avalu poosthakam varunnuu,അവൾ പുസ്തകം വരുന്നു,she is coming book
4614,njanu chaaya pani cheyyunnuu,ഞാൻ ചായ ജോലി ചെയ്യുന്നു,I is working tea
4615,nammalu chaayau urangunnuu,നാം ചായ ഉറങ്ങുന്നു,we is sleeping tea
4616,avalu schooleel urangunnu,അവൾ സ്കൂളിൽ ഉറങ്ങുന്നു,she is sleeping at school
4617,njanu poosthakam panee cheyyunnu,ഞാൻ പുസ്തകം ജോലി ചെയ്യുന്നു,I is working book
4618,ni vellamu varoonnoo,നീ വെള്ളം വരുന്നു,you is coming water
4619,ni poosthakam oorangoonnoo,നീ പുസ്തകം ഉറങ്ങുന്നു,you is sleeping book
4620,njanu poosthakam padeekkunnu,ഞാൻ പുസ്തകം പഠിക്കുന്നു,I is studying book
4621,njanu offeeceeel padeekkunnu,ഞാൻ ഓഫീസിൽ പഠിക്കുന്നു,I is studying at office
4622,neeu officeilu varoonnoo,നീ ഓഫീസിൽ വരുന്നു,you is coming at office
4623,neeu pusthakamu kazhikkunnuu,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
4624,njanu veetteel padeekkunnu,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
4625,neeu offeeceeel pokunnuu,നീ ഓഫീസിൽ പോകുന്നു,you is going at office
4626,avalu chaayau padikkoonnoo,അവൾ ചായ പഠിക്കുന്നു,she is studying tea
4627,ni schoolilu varoonnoo,നീ സ്കൂളിൽ വരുന്നു,you is coming at school
4628,nammalu coffi padikkoonnoo,നാം കാപ്പി പഠിക്കുന്നു,we is studying coffee
4629,avalu chaya kazheekkunnu,അവൾ ചായ കഴിക്കുന്നു,she is eating tea
4630,ni offeeceeel pani cheyyunnu,നീ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,you is working at office
4631,nammalu pusthakam pani cheyyoonnoo,നാം പുസ്തകം ജോലി ചെയ്യുന്നു,we is working book
4632,avanu vellamu pani cheyyoonnoo,അവൻ വെള്ളം ജോലി ചെയ്യുന്നു,he is working water
4633,avalu vellamu pokoonnoo,അവൾ വെള്ളം പോകുന്നു,she is going water
4634,neeu chaya kazhikkoonnoo,നീ ചായ കഴിക്കുന്നു,you is eating tea
4635,avanu schulil varoonnoo,അവൻ സ്കൂളിൽ വരുന്നു,he is coming at school
4636,avalu schoolil padikkoonnoo,അവൾ സ്കൂളിൽ പഠിക്കുന്നു,she is studying at school
4637,avanu pusthakamu pokunnuu,അവൻ പുസ്തകം പോകുന്നു,he is going book
4638,aval vellamu oorangoonnoo,അവൾ വെള്ളം ഉറങ്ങുന്നു,she is sleeping water
4639,avalu vellamu kazhikkunnu,അവൾ വെള്ളം കഴിക്കുന്നു,she is eating water
4640,neeu chaaya pani cheyyoonnoo,നീ ചായ ജോലി ചെയ്യുന്നു,you is working tea
4641,nammalu schoolil padikkoonnoo,നാം സ്കൂളിൽ പഠിക്കുന്നു,we is studying at school
4642,neeu vellamu pokunnuu,നീ വെള്ളം പോകുന്നു,you is going water
4643,avalu coffeeu varunnuu,അവൾ കാപ്പി വരുന്നു,she is coming coffee
4644,nammalu schoolilu kazhikkunnuu,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
4645,nammalu pusthakamu urangunnuu,നാം പുസ്തകം ഉറങ്ങുന്നു,we is sleeping book
4646,avalu poosthakam varunnu,അവൾ പുസ്തകം വരുന്നു,she is coming book
4647,avanu schulil pokunnuu,അവൻ സ്കൂളിൽ പോകുന്നു,he is going at school
4648,nammalu chaya kazhikkoonnoo,നാം ചായ കഴിക്കുന്നു,we is eating tea
4649,avalu vittil urangunnuu,അവൾ വീട്ടിൽ ഉറങ്ങുന്നു,she is sleeping at home
4650,njanu officeilu pokunnu,ഞാൻ ഓഫീസിൽ പോകുന്നു,I is going at office
4651,neeu offeeceeel urangunnuu,നീ ഓഫീസിൽ ഉറങ്ങുന്നു,you is sleeping at office
4652,ni chaayau kazhikkunnuu,നീ ചായ കഴിക്കുന്നു,you is eating tea
4653,ni coffeeu varoonnoo,നീ കാപ്പി വരുന്നു,you is coming coffee
4654,nammalu vellamu kazhikkunnuu,നാം വെള്ളം കഴിക്കുന്നു,we is eating water
4655,avanu coffeeu urangunnuu,അവൻ കാപ്പി ഉറങ്ങുന്നു,he is sleeping coffee
4656,njanu officeilu padikkoonnoo,ഞാൻ ഓഫീസിൽ പഠിക്കുന്നു,I is studying at office
4657,ni vellamu kazheekkunnu,നീ വെള്ളം കഴിക്കുന്നു,you is eating water
4658,avalu officeilu varunnuu,അവൾ ഓഫീസിൽ വരുന്നു,she is coming at office
4659,njanu veettilu padikkunnu,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
4660,ni pusthakamu varoonnoo,നീ പുസ്തകം വരുന്നു,you is coming book
4661,njanu pusthakamu pani cheyyoonnoo,ഞാൻ പുസ്തകം ജോലി ചെയ്യുന്നു,I is working book
4662,ni chaya kazhikkoonnoo,നീ ചായ കഴിക്കുന്നു,you is eating tea
4663,njanu coffeeu varunnuu,ഞാൻ കാപ്പി വരുന്നു,I is coming coffee
4664,neeu schooleel pani cheyyoonnoo,നീ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,you is working at school
4665,njanu officeilu pokoonnoo,ഞാൻ ഓഫീസിൽ പോകുന്നു,I is going at office
4666,ni offeeceeel urangunnuu,നീ ഓഫീസിൽ ഉറങ്ങുന്നു,you is sleeping at office
4667,avalu poosthakam pani cheyyunnu,അവൾ പുസ്തകം ജോലി ചെയ്യുന്നു,she is working book
4668,aval coffeeu panee cheyyunnu,അവൾ കാപ്പി ജോലി ചെയ്യുന്നു,she is working coffee
4669,ni chaya pani cheyyoonnoo,നീ ചായ ജോലി ചെയ്യുന്നു,you is working tea
4670,neeu veetteel padeekkunnu,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
4671,avanu schoolil pokunnuu,അവൻ സ്കൂളിൽ പോകുന്നു,he is going at school
4672,avalu veettil urangunnuu,അവൾ വീട്ടിൽ ഉറങ്ങുന്നു,she is sleeping at home
4673,njanu coffeeu pokoonnoo,ഞാൻ കാപ്പി പോകുന്നു,I is going coffee
4674,aval coffeeu oorangoonnoo,അവൾ കാപ്പി ഉറങ്ങുന്നു,she is sleeping coffee
4675,neeu vellamu padikkoonnoo,നീ വെള്ളം പഠിക്കുന്നു,you is studying water
4676,nammalu chaya padikkunnu,നാം ചായ പഠിക്കുന്നു,we is studying tea
4677,nammalu chaayau panee cheyyunnu,നാം ചായ ജോലി ചെയ്യുന്നു,we is working tea
4678,nammal veettilu kazhikkunnuu,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
4679,njanu veetteel urangunnuu,ഞാൻ വീട്ടിൽ ഉറങ്ങുന്നു,I is sleeping at home
4680,avanu coffeeu kazhikkunnu,അവൻ കാപ്പി കഴിക്കുന്നു,he is eating coffee
4681,ni officeilu padikkunnuu,നീ ഓഫീസിൽ പഠിക്കുന്നു,you is studying at office
4682,neeu offeeceeel pani cheyyunnuu,നീ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,you is working at office
4683,neeu chaya padikkoonnoo,നീ ചായ പഠിക്കുന്നു,you is studying tea
4684,njanu chaayau padikkoonnoo,ഞാൻ ചായ പഠിക്കുന്നു,I is studying tea
4685,avanu pusthakamu varoonnoo,അവൻ പുസ്തകം വരുന്നു,he is coming book
4686,njanu veettil oorangoonnoo,ഞാൻ വീട്ടിൽ ഉറങ്ങുന്നു,I is sleeping at home
4687,avanu pusthakamu padikkoonnoo,അവൻ പുസ്തകം പഠിക്കുന്നു,he is studying book
4688,neeu chaayau kazheekkunnu,നീ ചായ കഴിക്കുന്നു,you is eating tea
4689,nammalu coffi oorangoonnoo,നാം കാപ്പി ഉറങ്ങുന്നു,we is sleeping coffee
4690,avanu schooleel padikkunnuu,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
4691,avanu vellamu padikkoonnoo,അവൻ വെള്ളം പഠിക്കുന്നു,he is studying water
4692,avanu coffi pokunnuu,അവൻ കാപ്പി പോകുന്നു,he is going coffee
4693,ni vellamu kazhikkoonnoo,നീ വെള്ളം കഴിക്കുന്നു,you is eating water
4694,njanu vellamu pani cheyyunnu,ഞാൻ വെള്ളം ജോലി ചെയ്യുന്നു,I is working water
